Date,Gold_Close,USD_EGP,Gold_Pct_Change,EGP_Pct_Change,Volatility_Flag
2026-03-05,5065.2998046875,49.1208536,,,Insufficient Data
2026-03-06,5097.7998046875,50.12332,0.6416204618317822,2.0408163265306145,HIGH VOLATILITY
